size:    8208
repeats: 100000
time:    0.400885158
0   00000000 00000000
1   00000000 ffffffff
2   00000040 ffffffff
3   00000040 ffffffff
4   00000000 ffffffbf
5   00000000 ffffffbf
6   00000002 ffffffff
7   00000002 ffffffff
8   00000000 fffffffd
9   00000000 fffffffd
10  00000040 00000040
11  00000040 00000040
12  00000002 00000002
13  00000002 00000002
14  00000040 ffffffbf
15  00000040 ffffffbf
16  00000002 fffffffd
17  00000002 fffffffd
18  00000004 fffffffd
19  00000004 fffffffd
20  00000021 ffffffff
21  00000021 ffffffff
22  00000182 fffff1fb
23  00000182 fffff1fb
24  00000060 00000060
25  00000060 00000060
26  00000308 00000308
27  00000308 00000308
28  00000022 00000022
29  00000022 00000022
30  00000044 00000044
31  00000044 00000044
32  00000001 00000001
33  00000180 00000180
34  00000000 00000000
35  00000020 00000020
36  00000040 00000040
37  00000020 00000020
38  0001d000 0001d000
39  0001d004 0001d004
40  00000022 00000022
41  00000020 00000020
42  00000000 ffffffff
43  00000080 00000080
44  00000040 ffffffff
45  00000040 ffffffff
46  00000001 ffffffff
47  00000001 ffffffff
48  00000002 fffffffb
49  00000002 fffffffb
50  00000004 fffffffd
51  00000002 fffffffb
52  00000040 ffffffff
53  00000040 ffffffff
54  00000040 ffffffff
55  00000040 ffffffff
56  00000040 ffffffff
57  00000002 fffffffb
58  00000002 fffffffb
59  00000002 fffffffb
60  00000002 fffffffb
61  00000002 fffffffb
62  2a000000 2a000000
63  22000000 22000000
64  1e000000 1e000000
65  00000040 00000040
66  00000044 00000044
67  00000066 00000066
68  0001f000 ffffffff
69  0000c000 fffecfff
70  00000077 00000077
71  0000001d 0000001d
72  00000002 00000002
73  00000002 00000002
74  00000002 00000002
75  00000002 00000002
76  00000002 00000002
77  00000002 00000002
78  00000002 00000002
79  00000002 00000002
80  00000020 00000020
81  00000040 00000040
82  00000020 00000020
83  00000020 00000020
84  00000020 00000020
85  00000020 00000020
86  00000040 ffffffff
87  00000002 fffffffb
88  000000bd 000000bd
89  00000017 00000017
90  00000004 00000004
91  00000044 00000044
92  00000077 00000077
93  00000040 ffffffff
94  00000040 ffffffff
95  00000002 fffffffb
96  00000002 fffffffb
97  00000017 00000017
98  00000017 00000017
99  00000017 00000017
100  00000017 00000017
101  00000017 00000017
102  00000017 00000017
103  00000002 00000002
104  00000004 00000004
105  00000002 00000002
106  00000004 00000004
107  00000002 00000002
108  00000002 00000002
109  00000002 00000002
110  00000002 00000002
111  00000002 00000002
112  00000002 00000002
113  00000002 00000002
